"Plant_id";"Andrena_sp";"Anthidiellum_strigatum";"Anthrenus_sp";"Apis_mellifera";"Attagenus_sp";"Bombus_terrestris";"Bombylius_sp";"Ceratina_sp";"Chalicodoma_sicula";"Chasmatopterus_sp";"Dasypoda_sp";"Diodontus_insidiosus";"Diptera_sp10";"Diptera_sp6";"Diptera_sp7";"Episyrphus_sp";"Halictidae_sp1";"Halictus_sp";"Heliotaurus_ruficollis";"Lasioglossum_sp1";"Lasioglossum_sp2";"Lasioglossum_sp6";"Lindenius_luteiventris";"Lobonyx_aeneus";"Microlepidoptera";"Mordellidae_sp1";"Nitidulidae_sp1";"Nomada_sp";"Nustera_distigma";"Oedemera_sp";"Phthiria_sp";"Phthiria_sp1";"Plebejus_argus";"Pyronia_cecilia";"Rhyncomyia_cupraea";"Sphaerophoria_scripta";"Syrphidae_sp2";"Syrphidae_sp3";"Syrphidae_sp4";"Usia_sp";"Xylocopa_cantabrita"
"564";1.61812297734628;0;0;0.358071879803096;0;0;0;0;0;0;0;0.418617535183196;0;0;0;0.00367097296451625;0;0;0.259427142255304;0;3.88703473367807;0;0;0;0;0;0;0;0;0;0;0;0;0;1.01943614056513;0;0;0;0;0;0.272320621389441
"565";0;0;0.0592908465473998;0;0;0;0;0;0;0.00455016581192168;0;0;0;0;0;0;0;0;0;0;1.70060254668627;0;0;0;0;0;0.0277947835552738;0;0.00455016581192168;0;0;0;0;0;0;0;0;0;0;0;0.472772527238423
"614";0;0.00315264131641817;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0157632065820908;0;0;0;0;0;0;0
"616";0;0;0;0;0.111297119149326;0;0;0;0;0;0;0;0.037099039716442;0;0;0;0.148396158865768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"617";0;0.161267254277595;0.0537557514258649;0;0;0;0;0.10751150285173;0;0;0;0;0.376290259981054;0;0;0;0.0537557514258649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"621";0;0;0;0;0.292670202207487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"622";0;0;0;0;0.0739377352945229;0;0;0;0;0;0;0;0.0184844338236307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0924221691181537;0;0;0;0;0;0;0
"624";0;0;0;0;0.0829616321218072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"625";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.619772192909972;0;0;0;0;0;0;0;0
"92";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0998321526146074;0;0;0.362239297475302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"93";0;0;0;1.20380147835269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.253431890179514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"94";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.158982511923688
