"Plant_id";"Andrena_sp";"Anthrenus_sp";"Apis_mellifera";"Attagenus_sp";"Bombus_terrestris";"Bombylius_sp";"Ceratina_sp";"Chalicodoma_sicula";"Chasmatopterus_sp";"Chelostoma_sp";"Dasypoda_sp";"Deilus_sp";"Diodontus_insidiosus";"Diptera_sp1";"Diptera_sp3";"Diptera_sp4";"Episyrphus_sp";"Eucera_sp";"Heliotaurus_ruficollis";"Hylaeus_sp";"Lasioglossum_sp1";"Lasioglossum_sp2";"Lasioglossum_sp6";"Lindenius_luteiventris";"Lobonyx_aeneus";"Megachile_sp";"Megachilidae_sp";"Nustera_distigma";"Nymphalis_polychloros";"Osmia_sp";"Phthiria_sp";"Phthiria_sp1";"Rhyncomyia_cupraea";"Sphaerophoria_scripta";"Syrphidae_sp3";"Tiphia_morio";"Usia_sp";"Vespidae";"Vespula_sp";"Xylocopa_cantabrita"
"498";0;0;0;0;0;0;0;0;0.0234414933459416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"500";0;0;0;0;0;0;0;0;1.53479311382566;0;0;0;0;0;0;0;0;0;0.787462376201168;0;0;0.0954509803873365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0623052959501558
"576";0;0;0;0.87801060662246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"577";0;0;0;0.319276584226349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"579";0;0;0;0.277266507354461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"580";0;0;0;0;0;0;0.329666060058496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.290106132851476
"581";0;0;0;0.169937536765637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"582";0;0;0;0.0362066229535035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"583";0;0;0;0.329253977483422;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"585";0;0;0;0;0;0;1.75602121324492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
